ลำดับ,เลขทะเบียนโรงงาน,ชื่อโรงงาน,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงาน,แรงม้า
1867,จ3-105-237/51สค,บริษัท พัชรอุตสาหการ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 2/14,8,,,บ้านเกาะ,เมืองสมุทรสาคร,สมุทรสาคร,74000,,7240000,12,23
1868,จ3-105-24/50สค,นายหัสดี สุริยันต์,คัดแยกวัสดุเหลือใช้ทั่วไป,เลขที่ 5/8,1,,,ท่าทราย,เมืองสมุทรสาคร,สมุทรสาคร,74000,08-1943-1254,4250000,3,13
1869,จ3-105-250/51สค,มหาโชคไพบูลย์,คัดแยกวัสดุเหลือใช้ที่ไม่เป็นอันตราย เช่น เศษโลหะ เศษพลาสติก เศษกระดาษ เศษแก้ว เศษยางไม้ และบดพลาสติก,เลขที่ 42/23,6,,เอกชัย-แคราย,บางน้ำจืด,เมืองสมุทรสาคร,สมุทรสาคร,74000,,9000000,10,190
1870,จ3-105-31/52สค,บริษัท อังประภาสตีล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น พลาสติก ทองแดง ทองเหลือง เศษเหล็ก เศษกระดาษ เศษแก้ว เศษไม้ และอัดเศษโลหะ,เลขที่ 138,5,,พระรามที่ 2,พันท้ายนรสิงห์,เมืองสมุทรสาคร,สมุทรสาคร,74000,,18000000,15,260
1871,จ3-105-32/50สค,บริษัท วี แกรนด์ พลาสติก จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยพลาสติก และทำเม็ดพลาสติก,เลขที่ -,2,,,นาโคก,เมืองสมุทรสาคร,สมุทรสาคร,74000,,9000000,12,221.08
1872,จ3-105-42/52สค,บริษัท เจ แอล เชมโทนิค จำกัด,คัดแยกวัสดุรีไซเคิล กระดาษ ไม้ พลาสติก โลหะ เช่น สแตนเลส ทองแดง เหล็ก อลูมิเนียม,เลขที่ 9/9,1,,,ชัยมงคล,เมืองสมุทรสาคร,สมุทรสาคร,74000,,4000000,5,10
1873,จ3-105-44/52สค,บริษัท ซี.เค.เค.ทอย จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 40,5,,,ท่าเสา,กระทุ่มแบน,สมุทรสาคร,74110,,6500000,5,40
1874,จ3-105-50/50สค,บริษัท เอสเอ็มอี รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย เช่น กระดาษ พลาสติก เหล็ก,เลขที่ 379/18,4,,,ท่าไม้,กระทุ่มแบน,สมุทรสาคร,74110,,250000,9,37
1875,จ3-105-51/52สค,นางรัศมี สมนาค,คัดแยกวัสดุที่ใช้แล้วที่ไม่เป็นอันตราย เช่น ถังโลหะชนิดต่างๆ เศษเหล็ก เศษกระดาษ เศษพลาสติก,เลขที่ 35/3,2,,,ดอนไก่ดี,กระทุ่มแบน,สมุทรสาคร,74110,,2800000,10,6.5
1876,จ3-105-54/53สค,บริษัท อี่ยม ค้าถัง จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น พลาสติก ทองแดง ทองเหลือง เศษเหล็ก เศษกระดาษ เศษแก้ว เศษไม้ เศษผ้า และอัดเศษโลหะ,เลขที่ 58/3,1,,พระรามที่ 2,คอกกระบือ,เมืองสมุทรสาคร,สมุทรสาคร,74000,,2500000,10,100
1877,จ3-105-57/51สค,บริษัท โกลบอล เวนเจอร์ โซลูชั่นส์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย เช่น เศษสายไฟฟ้า เศษทองแดง เศษทองเหลือง เศษอลูมิเนียม เศษเหล็ก เศษพลาสติก เศษไม้ ฯลฯ,เลขที่ 54,3,,,บ้านเกาะ,เมืองสมุทรสาคร,สมุทรสาคร,74000,,7000000,32,90
1878,จ3-105-63/52สค,บริษัท เมืองกระดาษ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น กระดาษ,เลขที่ 88/1,3,-,-,นาดี,เมืองสมุทรสาคร,สมุทรสาคร,74000,,66000000,30,230
1879,จ3-105-64/50สค,บริษัท โกลเด้นเซอร์ส (ไทยแลนด์) จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น พลาสติก และอัดพลาสติกเป็นแท่งเพื่อส่งออก,เลขที่ 48/166,1,,เอกชัย,คอกกระบือ,เมืองสมุทรสาคร,สมุทรสาคร,74000,0-2381-7887,9100000,15,7.5
1880,จ3-105-67/50สค,วันทนาพลาสติก,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย เช่น กระดาษ เหล็ก แก้ว ผ้า,เลขที่ 100/013,6,,,บางหญ้าแพรก,เมืองสมุทรสาคร,สมุทรสาคร,74000,,700000,20,120.02
1881,จ3-105-67/52สค,บริษัท โคลอสแซลพลาสติก อินเตอร์เนชั่นแนล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และทำผลิตภัณฑ์พลาสติก,เลขที่ 103/2,1,,เอกชัย,นาดี,เมืองสมุทรสาคร,สมุทรสาคร,74000,,9500000,20,489.99
1882,จ3-105-70/52สค,ชงค์รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น พลาสติก ทองแดง ทองเหลือง เศษเหล็ก เศษกระดาษ เศษแก้ว เศษไม้ เศษผ้า,เลขที่ 66,6,,เศรษฐกิจ 1,คลองมะเดื่อ,กระทุ่มแบน,สมุทรสาคร,74110,,2800000,25,100
1883,จ3-105-72/51สค,บริษัท ทองใหญ่ โลหกรรม จำกัด,คัดแยกวัสดุเหลือใช้ที่ไม่เป็นอันตราย เช่น เศษโลหะ เศษพลาสติก เศษกระดาษ เศษแก้ว และไม้,เลขที่ 2/9,5,-,เศรษฐกิจ,คลองมะเดื่อ,กระทุ่มแบน,สมุทรสาคร,74110,,21000000,15,220
1884,จ3-105-87/51สค,บริษัท ประพรรณพัฒน์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย เช่น เศษพลาสติก เศษกระดาษ เศษเหล็ก เศษทองแดงฯ,เลขที่ 41,4,,พระรามที่ 2,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,74000,,8150000,25,30
1885,จ3-105-94/52สค,ห้างหุ้นส่วนจำกัด ยูนิคอปเปอร์เทรด,คัดแยกวัสดุที่ไม่ใช้แล้วจากโรงงานอุตสาหกรรม ที่ไม่เป็นของเสียอันตราย เช่น แผงวงจรอิเลคทรอนิกส์ ชิ้นส่วนอิเลคทรอนิกส์ เศษโลหะ เศษพลาสติก ไม้พาเลท,เลขที่ 21/7,6,,พระรามที่ 2,คอกกระบือ,เมืองสมุทรสาคร,สมุทรสาคร,74000,,12000000,14,177
1886,น.105-1/2551-นนส.,บริษัท ทรานส์เทคนิคโพลีเมอร์ จำกัด,ผลิตเกี่ยวกับนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบหรือผลิตภัณฑ์ใหม่โดยผ่านกระบวนการ(ของเสียประเภทยาง),เลขที่ 36/67,2,,พระราม2,บางกระเจ้า,เมืองสมุทรสาคร,สมุทรสาคร,74000,,12870643,21,630
1887,น.105-1/2555-นนส.,บริษัท โกบอล เวนเจอร์ โซลูชั่น จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ ,,,พระราม2,ท่าทราย,เมืองสมุทรสาคร,สมุทรสาคร,74000,,55199999,91,311.5
1888,น.106-1/2550-นนส.,บริษัท ไทย ซี ซิง จำกัด,รีไซเคิลตัวทำละลายและเคมีภัณฑ์ที่ใช้งานแล้ว,เลขที่ 1/20  นิคมอุตสาหกรรมสมุทรสาคร,2,,,ท่าทราย,เมืองสมุทรสาคร,สมุทรสาคร,74000,,0,37,408.93
1889,3-101-1/39สส,บริษัท สหชัย ซีฟู้ด จำกัด,ปรับคุณภาพของเสียรวม,เลขที่ 208/1,1,,วิธานวิถี,บางจะเกร็ง,เมืองสมุทรสงคราม,สมุทรสงคราม,75000,,1500000,2,134
1890,3-101-2/39สส,บริษัท ไทยลักซ์ เอ็นเตอร์ไพรส์ จำกัด(มหาชน),บำบัดน้ำเสียรวม,เลขที่ 69/5,5,,พระราม 2 (กม.71)   ,บางขันแตก,เมืองสมุทรสงคราม,สมุทรสงคราม,75000,(034)715800  ,18000000,2,45.25
1891,3-105-103/48สส,ธวัชโลหะกิจ,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษกระดาษ  เศษพลาสติก  เศษโลหะ,เลขที่ 148/15,0,-,สมุทรสงคราม-บางแพ,แม่กลอง,เมืองสมุทรสงคราม,สมุทรสงคราม,75000,034-715371,21000000,12,255
1892,3-105-2/53สส,บริษัท สยาม เซ็นทรัล กล๊าส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 111,6,-,พระราม 2,แพรกหนามแดง,อัมพวา,สมุทรสงคราม,75110,034-772053,40000000,7,0
1893,3-105-83/53สส,นิตยา ค้าไม้,คัดแยกเศษไม้,เลขที่ 171,5,เทพพิทักษ์,เอกชัย,ลาดใหญ่,เมืองสมุทรสงคราม,สมุทรสงคราม,75000,034-713194,1400000,12,19.84
1894,3-106-3/53สส,บริษัท สยาม เซ็นทรัล กล๊าส จำกัด,บดย่อยแก้ว,เลขที่ 111,6,-,พระราม 2,แพรกหนามแดง,อัมพวา,สมุทรสงคราม,75110,034 772053,40000000,25,754.5
1895,3-106-3/57สส,บริษัท สมานทองพาณิชย์ จำกัด,บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์,เลขที่ 39/1,6,-,พระราม 2,แพรกหนามแดง,อัมพวา,สมุทรสงคราม,75110,,9500000,15,590
1896,3-105-7/58พบ,นายสุทธิพันธ์ หวานใจ,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 199,1,-,-,ท่าคอย,ท่ายาง,เพชรบุรี,76130,08 6328 5565,7400000,7,0
1897,3-106-1/46พบ,บริษัท ไทย ซี ซิง จำกัด,กลั่นทินเนอร์หรือตัวทำละลายที่ใช้งานแล้ว เพื่อนำกลับมาใช้ประโยชน์ใหม่,เลขที่ 81,6,  -,รพช. (สายหนองชุมพล-อู่ตะเภา),หนองชุมพลเหนือ,เขาย้อย,เพชรบุรี,76140,(034) 815429,31300000,9,315.81
1898,3-106-17/51พบ,ห้างหุ้นส่วนจำกัด เกษมศักดิ์,ทำเชื้อเพลิงทดแทนจากยางและพลาสติกที่ใช้แล้ว,เลขที่ โฉนดที่ดินเลขที่ 24503,1,วัดดอนทราย-เขาพระ,เพชรเกษม,ทับคาง,เขาย้อย,เพชรบุรี,76140,032 439022-5,50000000,38,970
1899,3-106-18/58พบ,บริษัท หวิน จี (ประเทศไทย) จำกัด,ผลิตซิงค์ซัลเฟต ตะกอนทองแดง ตะกอนดีบุก และแคลเซียมไนเตรด จากสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,เลขที่ 60,7,-,ชัดหลังเต่า,หนองชุมพล,เขาย้อย,เพชรบุรี,76140,0 3279 6280,19500000,12,3970.5
1900,3-106-30/57พบ,บริษัท เปรมอนันต์ ปิโตเลียม จำกัด,กลั่นน้ำมันจากยางรถยนต์เก่า,เลขที่ น.ส.3ก เลขที่ 513,7,-,-,ท่าแลง,ท่ายาง,เพชรบุรี,76130,,22000000,20,1920
1901,3-106-45/52พบ,บริษัท หวินจี (ประเทศไทย) จำกัด,สกัดแยกโลหะมีค่า เช่น ทองแดง เงิน ดีบุก จากแผงวงจรและชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์  บดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และอบกากตะกอนที่มีโลหะมีค่าจากโรงงานชุบโลหะและโรงงานเกี่ยวกับอิเล็กทรอนิกส์ เช่น โครเมียม นิเกิล ทองแดง,เลขที่ 60,7,ชัฎหลังเต่า,-,หนองชุมพล,เขาย้อย,เพชรบุรี,76140,081 8480092,8950000,12,867
1902,จ3-105-233/51พบ,AP เจริญการค้า,คัดแยกเศษวัสดุ เช่น กระดาษ พลาสติกและเศษโลหะ,เลขที่ 94,8,-,ประมงเจริญ,บ้านแหลม,บ้านแหลม,เพชรบุรี,76110,032-481766,1850000,20,60
1903,จ3-105-239/51พบ,บริษัท หวิน จี (ประเทศไทย) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เฉพาะโลหะ อโลหะ และแผงวงจร,เลขที่ 60,7,ชีฎหลังเต่า,รพช.หนองชุมพล-อู่ตะเภา,หนองชุมพล,เขาย้อย,เพชรบุรี,76140,032-282530,14200000,12,133
1904,จ3-105-3/50พบ,บริษัท บราสเทค จำกัด,"คัดแยกสิ่งปฏิกูลที่ไม่ใช้แล้วที่ไม่อันตรายจากโรงงานอุตสาหกรรม,อัดเศษโลหะ",เลขที่ -,4,-,-,ห้วยท่าช้าง,เขาย้อย,เพชรบุรี,76140,-,1400000,5,30
1905,3-101-1/36ปข,บริษัท ทิปโก้ฟูดส์ จำกัด (มหาชน),"ปรับคุณภาพน้ำเสีย ได้วันละ 3,000  ลูกบาศก์เมตร ขยายเพิ่มผลิตแก๊สชีวภาพจากระบบบำบัดน้ำเสีย ผลิตก๊าซชีวภาพจากน้ำเสีย",เลขที่ 212,16,-,เพชรเกษม,อ่าวน้อย,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,77000,611384,18054000,4,339.5
1906,3-105-28/57ปข,บริษัท สามร้อยยอดค้าเหล็กและกระดาษ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย เช่น เศษกระดาษ เศษโลหะ เศษพลาสติก,เลขที่ 200,1,,เพชรเกษม,ศิลาลอย,สามร้อยยอด,ประจวบคีรีขันธ์,77180,032-684117-8,18200000,6,491
1907,3-106-56/53ปข,บริษัท วี กรุ๊ป ดีเวลลอปเมนท์ จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้ว  ทำเชื้อเพลิงผสม (Blending) จากเศษผ้าปนเปื้อนน้ำมัน กากตะกอนน้ำมัน วัสดุดูดซับ  ซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย,เลขที่ 22,7,-,-,เกาะหลัก,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,77000,,5000000,6,872
1908,3-106-73/53ปข,โรงงานแปรรูปขยะพลาสติกเป็นน้ำมันดิบ,แปรรูปขยะพลาสติกเป็นน้ำมันดิบ,เลขที่ -,-,-,-,ทับใต้,หัวหิน,ประจวบคีรีขันธ์,77110,32601963,55000000,16,229.68
1909,3-101-1/42นศ,บริษัท บ่อบำบัดน้ำเสียเจริญลาเท็กซ์ จำกัด,โรงงานปรับคุณภาพน้ำเสียรวม,เลขที่ ,,,,นาบอน,นาบอน,นครศรีธรรมราช,80220,075-491378-9,4300000,4,110
1910,3-101-1/45นศ,บริษัท ปูนซิเมนต์ไทย (ทุ่งสง) จำกัด,ปรับคุณภาพของเสียรวม(บำบัดหรือกำจัดวัสดุที่ไม่ใช้แล้ว   เช่น น้ำมันหล่อลื่น  ยางรถยนต์ ของเหลว เป็นต้น) โดยกระบวนการใช้ความร้อนด้วยการเผาในเตาเผาซิเมนต์,เลขที่ 52,6,-,ทุ่งสง-ห้วยยอด,ที่วัง,ทุ่งสง,นครศรีธรรมราช,80110,02-5863333,802000000,4,10810
1911,3-106-17/47นศ,บริษัท แบล็ค ออยล์ ภาคใต้ จำกัด,นำน้ำมันใช้แล้วมาผ่านกรรมวิธีการทางอุตสาหกรรม เพื่อนำกลับไปใช้ประโยชน์ใหม่ ซ่อมและล้างถังบรรจุสารเคมีด้วยตัวทำลายและคัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 244,3,-,ไม้หลา-ลานสกา,หินตก,ร่อนพิบูลย์,นครศรีธรรมราช,80350,01-5400890,2800000,6,59.12
1912,3-106-31/58นศ,บริษัท เอส ซี ไอ อีโค่ เซอร์วิสเซส จำกัด,ผลิตเชื้อเพลิงทดแทนชนิดแข็ง (Solid Blending) เพื่อใช้ในเตาเผาปูนซีเมนต์,เลขที่ โฉนดที่ดินเลขที่ 8398,,-,-,ที่วัง,ทุ่งสง,นครศรีธรรมราช,10800,0 2586 5798,260600000,14,2200
1913,3-106-42/53นศ,บริษัท เอส ซี ไอ อีโค่ เซอร์วิสเซส จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้ว และตัวทำละลายที่ใช้แล้ว,เลขที่ 52,6,,ทุ่งสง-ห้วยยอด,ที่วัง,ทุ่งสง,นครศรีธรรมราช,80110,075 538222,12219075,5,122
1914,จ3-105-151/51นศ,นายสมใจ สุขทอง,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วเฉพาะที่เป็นของเสียไม่อันตราย เช่น เศษโลหะต่างๆ เศษเหล็ก เศษอลูมิเนียม เศษกระดาษ เศษพลาสติกที่ไม่มีการปนเปื้อน,เลขที่ -,7,-,-,ที่วัง,ทุ่งสง,นครศรีธรรมราช,80110,08-9289-5195,2250000,2,10
1915,จ3-105-221/51นศ,ห้างหุ้นส่วนจำกัด นครกุล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว เฉพาะที่เป็นของเสียไม่อันตราย เช่น เศษโลหะต่างๆ เศษเหล็ก เศษอลูมิเนียม เศษกระดาษ เศษพลาสติกที่ไม่มีการปนเปื้อน,เลขที่ 110,2,-,-,ชะมาย,ทุ่งสง,นครศรีธรรมราช,80110,08-1968-4022,9700000,6,17
1916,จ3-105-45/50นศ,เค พี กรอบเพชร,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้ว เฉพาะที่เป็นของเสียไม่อันตราย เช่น เศษโลหะต่างๆ เศษเหล็ก เศษอลูมิเนียม เศษกระดาษ เศษพลาสติกที่ไม่มีการปนเปื้อน,เลขที่ 3,5,-,ควนปลิง - เขาโร,เขาโร,ทุ่งสง,นครศรีธรรมราช,80110,08-4841-1464,1500000,12,100
1917,จ3-105-55/51นศ,ประดับเพชรรีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว เฉพาะที่เป็นของเสียไม่อันตราย เช่น เศษโลหะต่าง ๆ เศษเหล็ก เศษอลูมิเนียม เศษกระดาษ เศษพลาสติก ที่ไม่มีการปนเปื้อน,เลขที่ 16/2,2,-,-,บ้านเกาะ,พรหมคีรี,นครศรีธรรมราช,80320,087-4642038,630000,3,25
1918,จ3-105-56/51นศ,จันทร์เทศรักษ์สิ่งแวดล้อม,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,เลขที่ 10,12,-,ทุ่งสง-ทุ่งใหญ่,ควนกรด,ทุ่งสง,นครศรีธรรมราช,80110,089-7664168,252000,4,9
1919,จ3-105-61/50นศ,ห้างหุ้นส่วนจำกัด ศ.แก้วดินทองก่อสร้าง,คัดแยกสิ่งปฏิกูลหรือวัตถุที่ไม่ใช้แล้ว เฉพาะที่เป็นของเสียไม่อันตราย เช่น เศษโลหะต่างๆ เศษแก้ว เศษอลูมิเนียม เศษกระดาษ เศษพลาสติกที่ไม่มีการปนเปื้อน,เลขที่ 168/1,8,-,-,ชะอวด,ชะอวด,นครศรีธรรมราช,80180,,1700000,15,100
1920,จ3-105-77/50นศ,บริษัท ต.เจริญไพศาล ทุ่งสง จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว เฉพาะที่เป็นของเสียไม่อันตราย เช่น เศษโลหะต่างๆ เศษเหล็ก เศษอลูมิเนียม เศษกระดาษ เศษพลาสติกที่ไม่มีการปนเปื้อน อัดและตัดเศษโลหะ,เลขที่ 83/1,6,-,-,หนองหงส์,ทุ่งสง,นครศรีธรรมราช,80110,0-7542-2012,8900000,20,47
1921,3-105-2/58กบ,ห้างหุ้นส่วนสามัญ วงษ์พาณิชย์ (สาขาเหนือคลอง),คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 313,3,-,-,เหนือคลอง,เหนือคลอง,กระบี่,81130,08 1935 8429,1285000,4,30
1922,3-101-1/45ภก,โรงงานเผาขยะมูลฝอยจังหวัดภูเก็ต,เผาทำลายขยะมูลฝอยชุมชน และผลิตพลังงานไฟฟ้า,เลขที่ -,1,-,รัตนโกสินทร์ 200 ปี,วิชิต,เมืองภูเก็ต,ภูเก็ต,83000,076-250430,813673398,33,17722.87
1923,3-101-2/54ภก,บริษัท พีเจที เทคโนโลยี จำกัด,เตาเผาขยะมูลฝอยชุมชน,เลขที่ 115/23-24,1,-,รัตนโกสินทร์ 200 ปี,วิชิต,เมืองภูเก็ต,ภูเก็ต,83000,076210313-4,500970000,48,25895.2
1924,3-106-8/50ภก,บริษัท ภูเก็ตไทยพลาสติก จำกัด,รีไซเคิลวัสดุที่ไม่ใช้แล้ว  เช่น  เศษพลาสติก,เลขที่ 157,9, -, -,เทพกระษัตรี,ถลาง,ภูเก็ต,83110,08 94740570,11460000,38,230
1925,3-101-5/48สฎ,โรงเผาขยะมูลฝอยเทศบาลนครเกาะสมุย,เผาทำลายขยะมูลฝอยชุมชน,เลขที่ 103,5,,,มะเร็ต,เกาะสมุย,สุราษฎร์ธานี,84310,077-424217,403389982,24,721
1926,3-105-51/53สฎ,ธนวัฒน์ เจริญทรัพย์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 22/8,5,-,-,วัดประดู่,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,84000,082 8099319,277600,4,12
1927,3-105-94/49สฎ,บริษัท ช.ศิริลักษณ์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย  ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้ว  และตัวทำละลายที่ใช้แล้ว  และล้างภาชนะบรรจุ,เลขที่ 185/6,7, -, -,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,84000,,11300000,6,80
1928,3-106-28/50สฎ,วังขนายรีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ล้าง บดย่อยพลาสติก ทำเม็ดพลาสติกเกรดบี,เลขที่ -,10,-,-,บางงอน,พุนพิน,สุราษฎร์ธานี,84130,,6000000,19,395
1929,จ3-105-169/50สฎ,นายหมื่นศักดิ์ พฤกษ์ช่วยทัพ,คัดแยก ย่อย รีด เศษถุงมือยาง และถุงยางอนามัย ให้เป็นแผ่น,เลขที่ โฉนดที่ดินเลขที่ 11485,3,,,เขาหัวควาย,พุนพิน,สุราษฎร์ธานี,84130,,4500000,6,28
1930,จ3-105-128/51ชพ,ห้างหุ้นส่วนจำกัด ชุมพรตั้งฮวดหลี,คัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นอันตรายตามประกาศกระทรวงอุตสาหกรรม เช่น กระดาษและโลหะ,เลขที่ 7/78,1,,เพชรเกษม,ขุนกระทิง,เมืองชุมพร,ชุมพร,86000,077-576633,9300000,10,95
1931,3-101-1/36สข,บริษัท ทรอปิคอลแคนนิ่ง (ประเทศไทย) จำกัด (มหาชน,ปรับคุณภาพของเสียรวม,เลขที่ ,2,,สาธารณะประโยชน์,ทุ่งใหญ่,หาดใหญ่,สงขลา,90110,212330-7,10700000,7,292
1932,3-101-5/39สข,บริษัท หวาไถ้รับเบอร์ จำกัด,"โรงงานปรับคุณภาพน้ำเสียรวม ขนาด 2,000 ลูกบาศก์เมตรต่อวัน",เลขที่ 26/9,4,,กาญจนวณิชย์,พังลา,สะเดา,สงขลา,90170,(074)541234,34000000,70,67.5
1933,3-105-1/46สข,ดอนพูดรีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วตามที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 47/1,1,-,-,เชิงแส,กระแสสินธุ์,สงขลา,90270,,800000,8,0
1934,3-105-64/54สข,ห้างหุ้นส่วนจำกัด ร้านเจริญรัตน์,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 300/21,2,-,-,เขารูปช้าง,เมืองสงขลา,สงขลา,90000,,560000,10,210
1935,3-105-8/56สข,นายกรณ์รัฐ ทัฬห์ปรเมษฐ์,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 4597,7,-,-,เกาะใหญ่,กระแสสินธุ์,สงขลา,90270,,1020000,10,4
1936,3-105-84/53สข,พรเทพพระนาย,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดิน 733,6,-,-,เกาะแต้ว,เมืองสงขลา,สงขลา,90000,8999778810,20130000,10,114
1937,3-105-88/53สข,รียูสแอนด์รีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 831,1,-,-,บางกล่ำ,บางกล่ำ,สงขลา,90110,74368800,150000,10,4
